id,Classe,Survie,Prix,PortEmbarq
id165,1,1,26.55,C
id166,1,1,90,S
id167,1,0,30.6958,C
id168,1,1,90,S
id169,1,1,80,""
id170,1,0,28.7125,C
id171,1,1,0,S
id172,1,0,26,S
id173,1,0,26,S
id174,1,0,211.5,C
id175,1,0,29.7,C
id176,1,0,51.8625,S
id177,1,1,51.8625,S
id178,1,1,52.5542,S
id179,1,1,52.5542,S
id180,1,0,26.55,S
id181,1,1,211.3375,S
id182,1,1,25.9292,S
id183,1,1,106.425,C
id184,1,1,512.3292,C
id185,1,0,27.7208,C
id186,1,0,26.55,S
id187,1,1,27.7208,C
id188,1,1,39.4,S
id189,1,1,39.4,S
id190,1,0,30,S
id191,1,1,77.9583,S
id192,1,0,45.5,S
id193,1,1,146.5208,C
id194,1,1,211.3375,S
id195,1,0,26,S
id196,1,1,86.5,S
id197,1,1,29.7,C
id198,1,0,53.1,S
id199,1,1,53.1,S
id200,1,1,49.5042,C
id201,1,0,75.2417,C
id202,1,0,51.8625,S
id203,1,1,26.2875,S
id204,1,0,82.1708,C
id205,1,1,82.1708,C
id206,1,0,26.55,S
id207,1,0,90,Q
id208,1,1,90,Q
id209,1,1,90,Q
id210,1,1,57.75,C
id211,1,0,30.5,S
id212,1,0,42.4,S
id213,1,0,29.7,C
id214,1,1,113.275,C
id215,1,1,113.275,C
id216,1,0,113.275,C
id217,1,1,26.2833,S
id218,1,0,26,S
id219,1,1,108.9,C
id220,1,1,25.7417,C
id221,1,1,61.9792,C
id222,1,0,61.9792,C
id223,1,0,27.7208,C
id224,1,0,0,S
id225,1,0,28.5,S
id226,1,0,93.5,S
id227,1,0,66.6,S
id228,1,1,66.6,S
id229,1,0,108.9,C
id230,1,1,108.9,C
id231,1,1,93.5,S
id232,1,1,30.5,S
id233,1,0,52,S
id234,1,1,83.1583,C
id235,1,0,0,S
id236,1,1,39.6,S
id237,1,0,135.6333,C
id238,1,0,227.525,C
id239,1,1,211.3375,S
id240,1,0,50.4958,S
id241,1,1,26.55,S
id242,1,0,50,S
id243,1,1,27.7208,C
id244,1,0,79.2,C
id245,1,0,40.125,C
id246,1,1,86.5,S
id247,1,0,59.4,C
id248,1,1,59.4,C
id249,1,0,26.55,S
id250,1,1,262.375,C
id251,1,1,262.375,C
id252,1,1,262.375,C
id253,1,0,262.375,C
id254,1,1,262.375,C
id255,1,1,30.5,S
id256,1,1,69.3,C
id257,1,1,26,S
id258,1,1,57.75,C
id259,1,1,31,C
id260,1,1,26.55,S
id261,1,1,153.4625,S
id262,1,1,26.2875,S
id263,1,0,55.9,S
id264,1,1,55.9,S
id265,1,1,35.5,C
id266,1,1,35.5,S
id267,1,0,26.55,S
id268,1,0,30.6958,C
id269,1,0,60,S
id270,1,0,26,S
id271,1,1,60,S
id272,1,1,82.2667,S
id273,1,1,82.2667,S
id274,1,1,134.5,C
id275,1,1,134.5,C
id276,1,1,134.5,C
id277,1,0,146.5208,C
id278,1,1,146.5208,C
id279,1,1,30.5,C
id280,1,0,26.55,S
id281,1,1,55.4417,C
id282,1,1,55.4417,C
id283,1,1,78.2667,C
id284,1,0,27.7208,C
id285,1,1,80,""
id286,1,0,221.7792,S
id287,1,0,221.7792,S
id288,1,0,32.3208,S
id289,1,1,25.9292,S
id290,1,1,79.65,S
id291,1,0,79.65,S
id292,1,1,79.65,S
id293,1,1,52,S
id294,1,1,52,S
id295,1,0,110.8833,C
id296,1,1,110.8833,C
id297,1,1,110.8833,C
id298,1,1,79.2,C
id299,1,1,28.5375,C
id300,1,0,27.7208,C
id301,1,0,33.5,S
id302,1,0,34.0208,S
id303,1,1,512.3292,C
id304,1,0,75.25,C
id305,1,1,75.25,C
id306,1,0,26.55,S
id307,1,0,77.2875,S
id308,1,0,77.2875,S
id309,1,1,135.6333,C
id310,1,1,164.8667,S
id311,1,0,164.8667,S
id312,1,1,164.8667,S
id313,1,0,211.5,C
id314,1,0,211.5,C
id315,1,1,211.5,C
id316,1,1,26.55,S
id317,1,0,61.3792,C
id318,1,1,61.3792,C
id319,1,0,35,S
id320,1,1,134.5,C
id321,1,1,35.5,S
id322,1,0,26.55,S
id323,1,1,135.6333,C
id324,2,0,24,C
id325,2,1,24,C
id326,2,0,13,S
id327,2,0,11.5,S
id328,2,0,10.5,S
id329,2,0,26,S
id330,2,1,26,S
id331,2,0,13,S
id332,2,0,11.5,S
id333,2,0,10.5,S
id334,2,1,13,S
id335,2,0,10.5,S
id336,2,0,12.525,S
id337,2,1,26,S
id338,2,1,26,S
id339,2,0,26,S
id340,2,1,39,S
id341,2,1,39,S
id342,2,1,39,S
id343,2,1,39,S
id344,2,1,13,S
id345,2,1,13,S
id346,2,0,13,S
id347,2,0,13,S
id348,2,0,13,S
id349,2,0,13,S
id350,2,1,13,S
id351,2,1,39,S
id352,2,0,39,S
id353,2,1,39,S
id354,2,1,26,S
id355,2,0,26,S
id356,2,1,13,S
id357,2,0,13,S
id358,2,0,13,S
id359,2,1,13,S
id360,2,1,29,S
id361,2,1,29,S
id362,2,1,29,S
id363,2,1,21,S
id364,2,0,0,S
id365,2,0,13,S
id366,2,0,26,S
id367,2,0,26,S
id368,2,0,13.5,S
id369,2,0,26,S
id370,2,0,26,S
id371,2,1,30,S
id372,2,1,30,S
id373,2,0,26,S
id374,2,1,26,S
id375,2,0,10.5,S
id376,2,0,13,S
id377,2,1,10.5,S
id378,2,1,26.25,S
id379,2,0,26.25,S
id380,2,1,26.25,S
id381,2,1,10.5,S
id382,2,0,13,S
id383,2,0,21,S
id384,2,0,11.5,S
id385,2,0,0,S
id386,2,1,36.75,S
id387,2,0,73.5,S
id388,2,1,36.75,S
id389,2,1,13,S
id390,2,0,13,S
id391,2,0,73.5,S
id392,2,0,27.7208,C
id393,2,1,27.7208,C
id394,2,0,31.5,S
id395,2,0,73.5,S
id396,2,1,23,S
id397,2,1,23,S
id398,2,0,26,S
id399,2,1,32.5,S
id400,2,0,32.5,S
id401,2,1,32.5,S
id402,2,1,13.8583,C
id403,2,1,13.8583,C
id404,2,0,13,S
id405,2,0,13,S
id406,2,0,13,S
id407,2,0,26,S
id408,2,1,26,S
id409,2,0,10.5,S
id410,2,0,13,S
id411,2,0,0,S
id412,2,0,13,S
id413,2,0,26,S
id414,2,0,21,S
id415,2,0,21,S
id416,2,1,13,S
id417,2,0,26,S
id418,2,0,10.5,S
id419,2,0,10.5,S
id420,2,0,11.5,S
id421,2,0,11.5,S
id422,2,0,13.5,S
id423,2,0,13,S
id424,2,0,13,S
id425,2,0,13,S
id426,2,0,13,S
id427,2,0,13,S
id428,2,1,14.5,S
id429,2,1,14.5,S
id430,2,0,13,S
id431,2,1,33,S
id432,2,0,33,S
id433,2,1,10.5,S
id434,2,0,10.5,S
id435,2,1,26.25,S
id436,2,0,26.25,S
id437,2,1,26.25,S
id438,2,1,65,S
id439,2,1,65,S
id440,2,0,65,S
id441,2,1,65,S
id442,2,1,16,S
id443,2,0,73.5,S
id444,2,0,73.5,S
id445,2,0,73.5,S
id446,2,0,13,S
id447,2,1,23,S
id448,2,0,11.5,S
id449,2,0,13,S
id450,2,1,23,S
id451,2,0,13,S
id452,2,0,26,S
id453,2,1,26,S
id454,2,0,73.5,S
id455,2,1,13,S
id456,2,0,26,S
id457,2,0,26,S
id458,2,0,12.275,S
id459,2,1,10.5,S
id460,2,0,27,S
id461,2,1,27,S
id462,2,0,15,S
id463,2,0,31.5,S
id464,2,0,31.5,S
id465,2,0,10.5,S
id466,2,1,13.7917,C
id467,2,0,26,S
id468,2,1,26,S
id469,2,0,21,S
id470,2,1,12.35,Q
id471,2,0,12.35,Q
id472,2,1,13.5,S
id473,2,0,12.35,Q
id474,2,0,0,S
id475,2,0,10.5,S
id476,2,0,26,S
id477,2,0,26,S
id478,2,0,10.7083,Q
id479,2,1,41.5792,C
id480,2,1,41.5792,C
id481,2,0,41.5792,C
id482,2,1,41.5792,C
id483,2,1,12,C
id484,2,1,33,S
id485,2,1,10.5,S
id486,2,0,12.875,C
id487,2,0,10.5,S
id488,2,0,12.35,Q
id489,2,0,26,S
id490,2,1,26,S
id491,2,0,10.5,S
id492,2,0,15.0458,C
id493,2,1,37.0042,C
id494,2,0,37.0042,C
id495,2,1,37.0042,C
id496,2,0,15.5792,C
id497,2,0,13,S
id498,2,0,16,S
id499,2,0,13.5,S
id500,2,0,13,S
id501,2,0,26,S
id502,2,1,19.5,S
id503,2,1,19.5,S
id504,2,1,10.5,S
id505,2,0,13,S
id506,2,0,13,S
id507,2,0,10.5,S
id508,2,0,13,S
id509,2,0,14,S
id510,2,0,26,S
id511,2,0,10.5,S
id512,2,0,9.6875,Q
id513,2,0,30.0708,C
id514,2,1,30.0708,C
id515,2,1,26,S
id516,2,1,26,S
id517,2,0,26,S
id518,2,0,13,S
id519,2,0,36.75,S
id520,2,0,13.5,S
id521,2,1,13.8625,C
id522,2,1,10.5,S
id523,2,0,13,S
id524,2,1,10.5,S
id525,2,1,13.8625,C
id526,2,0,10.5,S
id527,2,1,13.8583,C
id528,2,0,10.5,S
id529,2,0,0,S
id530,2,1,26,S
id531,2,0,10.5,S
id532,2,0,15.05,C
id533,2,0,13,S
id534,2,1,21,S
id535,2,1,26,S
id536,2,0,21,S
id537,2,1,13,S
id538,2,0,13,S
id539,2,1,12.7375,C
id540,2,0,15.0333,C
id541,2,1,26,S
id542,2,1,26,S
id543,2,1,26,S
id544,2,0,10.5,S
id545,2,0,21,S
id546,2,1,21,S
id547,2,1,13,S
id548,2,0,15.0458,C
id549,2,1,18.75,S
id550,2,1,18.75,S
id551,2,1,18.75,S
id552,2,1,10.5,S
id553,2,0,10.5,S
id554,2,1,10.5,S
id555,2,0,13,S
id556,2,0,13,S
id557,2,0,26,S
id558,2,1,26,S
id559,2,1,13,S
id560,2,1,36.75,S
id561,2,1,13,S
id562,2,0,13.5,S
id563,2,1,12.35,Q
id564,2,0,10.5,S
id565,2,1,13,S
id566,2,0,13,S
id567,2,0,15.0458,C
id568,2,0,10.5,S
id569,2,0,13,S
id570,2,0,65,S
id571,2,1,10.5,S
id572,2,0,13,S
id573,2,1,12.65,S
id574,2,1,10.5,S
id575,2,0,21,S
id576,2,0,21,S
id577,2,0,13,S
id578,2,1,21,S
id579,2,0,21,S
id580,2,0,10.5,S
id581,2,1,21,S
id582,2,0,0,S
id583,2,1,15.75,S
id584,2,1,15.75,S
id585,2,1,13,S
id586,2,0,26,S
id587,2,1,26,S
id588,2,1,23,S
id589,2,1,23,S
id590,2,1,23,S
id591,2,1,27.75,S
id592,2,1,27.75,S
id593,2,0,27.75,S
id594,2,1,27.75,S
id595,2,0,10.5,S
id596,2,0,12.875,S
id597,2,1,13,S
id598,2,1,13,S
id599,2,1,13.5,S
id600,2,0,13,S
id601,3,0,7.55,S
id602,3,0,20.25,S
id603,3,0,20.25,S
id604,3,1,20.25,S
id605,3,1,7.65,S
id606,3,1,7.65,S
id607,3,1,7.925,S
id608,3,1,7.2292,C
id609,3,0,7.25,S
id610,3,0,8.05,S
id611,3,0,9.475,S
id612,3,1,9.35,S
id613,3,1,9.35,S
id614,3,1,18.7875,C
id615,3,0,7.8875,S
id616,3,0,7.925,S
id617,3,0,7.05,S
id618,3,0,7.05,S
id619,3,0,8.05,S
id620,3,0,8.3,S
id621,3,0,22.525,S
id622,3,1,7.8542,S
id623,3,0,31.275,S
id624,3,0,31.275,S
id625,3,0,31.275,S
id626,3,1,7.925,S
id627,3,0,7.775,S
id628,3,0,31.275,S
id629,3,0,31.275,S
id630,3,0,31.275,S
id631,3,1,7.7958,S
id632,3,0,7.775,S
id633,3,0,31.275,S
id634,3,0,7.8542,S
id635,3,0,7.8958,S
id636,3,0,17.8,S
id637,3,0,17.8,S
id638,3,0,7.775,S
id639,3,0,7.05,S
id640,3,0,31.3875,S
id641,3,0,31.3875,S
id642,3,1,31.3875,S
id643,3,0,31.3875,S
id644,3,1,31.3875,S
id645,3,0,31.3875,S
id646,3,1,7.7958,S
id647,3,1,31.3875,S
id648,3,1,7.225,C
id649,3,0,7.225,C
id650,3,0,7.05,S
id651,3,0,14.4583,C
id652,3,0,7.225,C
id653,3,0,7.8542,S
id654,3,1,7.2292,C
id655,3,0,7.225,C
id656,3,0,15.85,S
id657,3,1,15.85,S
id658,3,1,19.2583,C
id659,3,1,19.2583,C
id660,3,1,19.2583,C
id661,3,1,19.2583,C
id662,3,1,8.05,S
id663,3,0,7.225,C
id664,3,0,7.8958,S
id665,3,1,7.2292,C
id666,3,0,14.4542,C
id667,3,0,14.4542,C
id668,3,0,7.8792,Q
id669,3,0,8.05,S
id670,3,0,8.05,S
id671,3,0,7.775,S
id672,3,0,9.35,S
id673,3,0,7.2292,C
id674,3,0,4.0125,C
id675,3,1,56.4958,S
id676,3,0,7.775,S
id677,3,0,7.75,S
id678,3,0,7.8958,S
id679,3,0,15.2458,C
id680,3,0,15.2458,C
id681,3,0,7.225,C
id682,3,0,15.2458,C
id683,3,0,7.75,Q
id684,3,0,15.5,Q
id685,3,0,15.5,Q
id686,3,0,16.1,S
id687,3,1,7.725,Q
id688,3,0,7.8542,S
id689,3,0,7.0458,S
id690,3,0,7.25,S
id691,3,0,7.7958,S
id692,3,0,8.05,S
id693,3,0,7.2833,Q
id694,3,1,7.8208,Q
id695,3,0,6.75,Q
id696,3,0,7.8792,Q
id697,3,0,8.6625,S
id698,3,0,8.6625,S
id699,3,0,8.6625,S
id700,3,0,8.6625,S
id701,3,0,8.6625,S
id702,3,0,8.6625,S
id703,3,0,7.75,Q
id704,3,0,7.75,Q
id705,3,0,8.05,S
id706,3,0,14.4583,C
id707,3,0,14.4583,C
id708,3,0,7.7958,S
id709,3,0,7.8542,S
id710,3,1,7.75,Q
id711,3,0,7.75,Q
id712,3,0,7.25,S
id713,3,0,8.05,S
id714,3,0,7.7333,Q
id715,3,1,56.4958,S
id716,3,0,8.05,S
id717,3,0,14.4542,C
id718,3,0,14.4542,C
id719,3,0,7.05,S
id720,3,1,8.05,S
id721,3,0,7.25,Q
id722,3,0,7.4958,S
id723,3,0,7.4958,S
id724,3,0,7.7333,Q
id725,3,0,7.75,Q
id726,3,1,7.75,Q
id727,3,0,7.6292,Q
id728,3,0,7.75,Q
id729,3,0,8.05,S
id730,3,0,7.8958,S
id731,3,0,7.8958,S
id732,3,0,7.8958,S
id733,3,0,8.05,S
id734,3,1,15.9,S
id735,3,1,15.9,S
id736,3,1,15.9,S
id737,3,0,7.25,S
id738,3,0,8.1583,S
id739,3,1,16.1,S
id740,3,0,16.1,S
id741,3,0,8.6625,S
id742,3,0,7.225,C
id743,3,1,8.05,S
id744,3,0,10.5167,S
id745,3,0,10.1708,S
id746,3,1,6.95,Q
id747,3,1,7.75,Q
id748,3,0,14.4,S
id749,3,0,14.4,S
id750,3,0,14.4,S
id751,3,0,7.8958,S
id752,3,0,7.8958,S
id753,3,0,24.15,S
id754,3,0,8.05,S
id755,3,0,24.15,S
id756,3,0,8.05,S
id757,3,0,16.1,S
id758,3,1,16.1,S
id759,3,1,17.4,S
id760,3,1,17.4,S
id761,3,1,9.5,S
id762,3,0,9.5,S
id763,3,1,20.575,S
id764,3,1,20.575,S
id765,3,0,20.575,S
id766,3,1,20.575,S
id767,3,0,7.8958,S
id768,3,0,7.8958,S
id769,3,0,7.8958,S
id770,3,0,7.25,S
id771,3,0,7.25,S
id772,3,1,7.8792,Q
id773,3,0,7.8958,S
id774,3,0,8.6625,S
id775,3,0,7.8958,S
id776,3,0,7.2292,C
id777,3,0,7.75,Q
id778,3,1,8.05,S
id779,3,1,12.475,S
id780,3,0,7.75,Q
id781,3,1,8.05,S
id782,3,0,7.8958,C
id783,3,0,7.75,Q
id784,3,1,7.55,S
id785,3,0,13.9,S
id786,3,1,13.9,S
id787,3,0,7.775,S
id788,3,0,7.775,S
id789,3,0,6.975,S
id790,3,0,7.225,C
id791,3,0,7.2292,C
id792,3,0,7.2292,C
id793,3,0,7.2292,C
id794,3,0,7.25,S
id795,3,1,12.475,S
id796,3,0,7.225,C
id797,3,0,15.1,S
id798,3,0,7.75,Q
id799,3,1,7.05,S
id800,3,0,7.7958,S
id801,3,0,7.75,Q
id802,3,0,7.75,Q
id803,3,0,6.95,Q
id804,3,0,7.8792,Q
id805,3,0,7.75,Q
id806,3,1,56.4958,S
id807,3,0,34.375,S
id808,3,0,34.375,S
id809,3,0,8.05,S
id810,3,0,34.375,S
id811,3,0,34.375,S
id812,3,0,34.375,S
id813,3,0,7.75,Q
id814,3,0,7.25,S
id815,3,0,7.7417,Q
id816,3,0,14.5,S
id817,3,0,7.8958,C
id818,3,0,8.05,S
id819,3,1,7.7333,Q
id820,3,1,7.75,Q
id821,3,1,20.525,S
id822,3,0,20.525,S
id823,3,0,7.85,S
id824,3,1,20.525,S
id825,3,0,7.05,S
id826,3,0,46.9,S
id827,3,0,46.9,S
id828,3,0,46.9,S
id829,3,0,46.9,S
id830,3,0,46.9,S
id831,3,0,46.9,S
id832,3,0,46.9,S
id833,3,0,46.9,S
id834,3,0,8.05,S
id835,3,0,8.3625,S
id836,3,0,8.05,S
id837,3,0,9.8458,S
id838,3,0,7.925,S
id839,3,0,7.925,S
id840,3,0,7.775,S
id841,3,0,8.85,S
id842,3,0,7.7333,Q
id843,3,0,19.9667,S
id844,3,0,19.9667,S
id845,3,0,15.85,S
id846,3,1,15.85,S
id847,3,0,9.5,S
id848,3,0,7.2292,C
id849,3,0,14.1083,S
id850,3,0,7.8542,S
id851,3,0,7.8542,S
id852,3,1,14.1083,S
id853,3,0,7.55,S
id854,3,0,7.25,S
id855,3,0,6.8583,Q
id856,3,0,18.7875,C
id857,3,1,7.75,Q
id858,3,1,6.975,S
id859,3,1,56.4958,S
id860,3,0,6.75,Q
id861,3,1,7.925,S
id862,3,0,7.925,S
id863,3,1,8.9625,S
id864,3,0,7.8958,S
id865,3,0,7.775,S
id866,3,0,7.75,Q
id867,3,1,12.2875,S
id868,3,1,12.2875,S
id869,3,0,6.45,S
id870,3,0,22.525,S
id871,3,1,7.925,S
id872,3,0,7.75,Q
id873,3,1,8.05,S
id874,3,0,7.65,S
id875,3,1,7.8875,S
id876,3,0,7.2292,C
id877,3,0,7.8958,S
id878,3,0,7.925,S
id879,3,0,7.925,S
id880,3,0,7.8958,S
id881,3,1,7.8958,C
id882,3,1,7.7958,S
id883,3,0,7.05,S
id884,3,0,7.8542,S
id885,3,0,7.8542,S
id886,3,0,7.0542,S
id887,3,1,7.75,Q
id888,3,1,8.1125,S
id889,3,0,6.4958,S
id890,3,1,7.775,S
id891,3,0,7.7958,S
id892,3,0,8.6542,S
id893,3,0,7.775,S
id894,3,0,7.8542,S
id895,3,1,11.1333,S
id896,3,1,11.1333,S
id897,3,0,0,S
id898,3,0,7.775,S
id899,3,0,0,S
id900,3,1,11.1333,S
id901,3,0,23.45,S
id902,3,0,23.45,S
id903,3,0,23.45,S
id904,3,0,23.45,S
id905,3,0,7.8958,S
id906,3,1,7.8542,S
id907,3,0,7.8542,S
id908,3,0,9.825,S
id909,3,0,9.825,S
id910,3,1,7.925,S
id911,3,0,7.125,S
id912,3,0,8.4333,S
id913,3,0,7.8958,S
id914,3,1,7.7958,S
id915,3,0,7.8542,S
id916,3,0,7.5208,S
id917,3,1,13.4167,C
id918,3,1,13.4167,C
id919,3,0,7.2292,C
id920,3,0,7.2292,C
id921,3,0,7.75,Q
id922,3,0,7.25,S
id923,3,1,7.75,Q
id924,3,1,7.75,Q
id925,3,0,7.8292,Q
id926,3,0,8.05,S
id927,3,1,7.75,Q
id928,3,0,14.4542,C
id929,3,0,14.4542,C
id930,3,0,7.75,Q
id931,3,0,7.75,Q
id932,3,0,7.7375,Q
id933,3,0,8.6625,S
id934,3,0,8.6625,S
id935,3,1,22.025,S
id936,3,1,22.025,S
id937,3,1,22.025,S
id938,3,0,12.1833,S
id939,3,0,7.8542,S
id940,3,0,12.1833,S
id941,3,0,7.8958,C
id942,3,1,7.2292,C
id943,3,0,7.225,C
id944,3,0,9.5875,S
id945,3,0,7.8958,S
id946,3,1,56.4958,S
id947,3,0,56.4958,S
id948,3,1,7.25,S
id949,3,0,7.75,Q
id950,3,1,56.4958,S
id951,3,0,9.4833,S
id952,3,0,7.775,S
id953,3,0,7.775,S
id954,3,1,7.225,C
id955,3,0,25.4667,S
id956,3,0,25.4667,S
id957,3,0,25.4667,S
id958,3,0,25.4667,S
id959,3,0,25.4667,S
id960,3,0,7.925,S
id961,3,0,6.4375,C
id962,3,0,15.5,Q
id963,3,0,15.5,Q
id964,3,0,0,S
id965,3,0,24.15,S
id966,3,0,9.5,S
id967,3,0,7.775,S
id968,3,0,7.75,S
id969,3,0,15.55,S
id970,3,0,15.55,S
id971,3,1,7.925,S
id972,3,0,7.8792,Q
id973,3,0,56.4958,S
id974,3,0,7.55,S
id975,3,0,16.1,S
id976,3,0,16.1,S
id977,3,0,7.8792,S
id978,3,0,7.25,S
id979,3,1,8.6625,S
id980,3,0,7.0542,S
id981,3,1,7.8542,S
id982,3,1,7.5792,S
id983,3,0,7.8958,S
id984,3,0,7.55,S
id985,3,1,7.75,Q
id986,3,1,7.1417,S
id987,3,0,7.125,S
id988,3,0,7.8792,Q
id989,3,0,7.75,Q
id990,3,0,8.05,S
id991,3,0,7.925,S
id992,3,1,7.2292,C
id993,3,0,7.75,Q
id994,3,1,7.7375,Q
id995,3,0,7.2292,C
id996,3,0,7.8958,C
id997,3,0,7.8958,S
id998,3,1,7.225,C
id999,3,0,7.8958,C
id1000,3,1,7.75,Q
id1001,3,1,7.75,Q
id1002,3,1,23.25,Q
id1003,3,1,23.25,Q
id1004,3,1,23.25,Q
id1005,3,1,7.7875,Q
id1006,3,0,15.5,Q
id1007,3,1,7.8792,Q
id1008,3,1,8.0292,Q
id1009,3,0,7.75,Q
id1010,3,0,7.75,Q
id1011,3,0,16.1,S
id1012,3,0,16.1,S
id1013,3,0,7.75,Q
id1014,3,0,8.05,S
id1015,3,0,8.05,S
id1016,3,0,8.05,S
id1017,3,0,7.75,Q
id1018,3,1,7.775,S
id1019,3,0,8.05,S
id1020,3,0,7.8958,S
id1021,3,0,7.8958,S
id1022,3,0,7.8958,S
id1023,3,0,7.8958,S
id1024,3,1,7.8792,Q
id1025,3,0,7.65,S
id1026,3,1,12.475,S
id1027,3,1,12.475,S
id1028,3,0,8.05,S
id1029,3,1,24.15,Q
id1030,3,0,24.15,Q
id1031,3,0,8.4583,Q
id1032,3,0,8.05,S
id1033,3,0,7.75,Q
id1034,3,1,7.775,S
id1035,3,1,15.2458,C
id1036,3,1,15.2458,C
id1037,3,1,15.2458,C
id1038,3,1,7.2292,C
id1039,3,0,8.05,S
id1040,3,1,7.7333,Q
id1041,3,1,7.75,Q
id1042,3,0,8.05,S
id1043,3,1,15.5,Q
id1044,3,1,15.5,Q
id1045,3,1,15.5,Q
id1046,3,0,7.75,S
id1047,3,0,7.8958,S
id1048,3,1,7.225,C
id1049,3,1,15.7417,C
id1050,3,1,15.7417,C
id1051,3,1,15.7417,C
id1052,3,0,8.05,S
id1053,3,0,7.8958,S
id1054,3,0,7.2292,C
id1055,3,0,7.75,Q
id1056,3,0,7.8958,S
id1057,3,1,11.2417,C
id1058,3,1,11.2417,C
id1059,3,0,7.925,S
id1060,3,0,8.05,S
id1061,3,1,7.775,S
id1062,3,1,7.8542,S
id1063,3,0,7.8542,S
id1064,3,0,7.125,S
id1065,3,1,7.925,S
id1066,3,0,7.8,S
id1067,3,0,7.2292,C
id1068,3,1,7.75,S
