id,Civilite,Age,EpouseFrat,ParentsEnf
id84,Mrs,64,1,1
id85,Mr,39,1,0
id86,Mrs,38,1,0
id87,Mr,51,0,0
id88,Mr,27,0,0
id89,Miss,33,0,0
id90,Mr,31,1,0
id91,Mrs,27,1,2
id92,Mr,31,1,0
id93,Mrs,17,1,0
id94,DrM,53,1,1
id95,Master,4,0,2
id96,Mrs,54,1,1
id97,Dona,50,1,0
id98,Mrs,27,1,1
id99,Dona,48,1,0
id100,Mrs,48,1,0
id101,Mr,49,1,0
id102,Mr,39,0,0
id103,Mrs,23,0,1
id104,Miss,38,0,0
id105,Miss,54,1,0
id106,Miss,36,0,0
id107,Mr,,0,0
id108,Mrs,,0,0
id109,Miss,,0,0
id110,Mr,36,0,0
id111,Mr,30,0,0
id112,Miss,24,3,2
id113,Miss,28,3,2
id114,Miss,23,3,2
id115,Mr,19,3,2
id116,Mr,64,1,4
id117,Mrs,60,1,4
id118,Miss,30,0,0
id119,Mr,,0,0
id120,DrM,50,2,0
id121,Mr,43,1,0
id122,Mrs,,1,0
id123,Miss,22,0,2
id124,Mr,60,1,1
id125,Mrs,48,1,1
id126,Mr,,0,0
id127,Mr,37,1,0
id128,Mrs,35,1,0
id129,Mr,47,0,0
id130,Miss,35,0,0
id131,Miss,22,0,1
id132,Mrs,45,0,1
id133,Mr,24,0,0
id134,Mr,49,1,0
id135,Mrs,,1,0
id136,Mr,71,0,0
id137,ColM,53,0,0
id138,Miss,19,0,0
id139,Mr,38,0,1
id140,Mrs,58,0,1
id141,Mr,23,0,1
id142,Mrs,45,0,1
id143,Mr,46,0,0
id144,Mr,25,1,0
id145,Mrs,25,1,0
id146,Mr,48,1,0
id147,Mrs,49,1,0
id148,Mr,,0,0
id149,Mr,45,1,0
id150,Mrs,35,1,0
id151,Mr,40,0,0
id152,Mr,27,0,0
id153,Mr,,0,0
id154,Miss,24,0,0
id155,Mr,55,1,1
id156,Mrs,52,1,1
id157,Mr,42,0,0
id158,Mr,,0,0
id159,Mr,55,0,0
id160,Miss,16,0,1
id161,Mrs,44,0,1
id162,Mrs,51,1,0
id163,Mr,42,1,0
id164,Mrs,35,1,0
id165,Mr,35,0,0
id166,Mr,38,1,0
id167,Mr,,0,0
id168,Mrs,35,1,0
id169,Miss,38,0,0
id170,Miss,50,0,0
id171,Mr,49,0,0
id172,Mr,46,0,0
id173,Mr,50,0,0
id174,Mr,32.5,0,0
id175,Mr,58,0,0
id176,Mr,41,1,0
id177,Mrs,,1,0
id178,Mr,42,1,0
id179,Mrs,45,1,0
id180,Mr,,0,0
id181,Miss,39,0,0
id182,DrF,49,0,0
id183,Miss,30,0,0
id184,Mr,35,0,0
id185,Mr,,0,0
id186,Mr,42,0,0
id187,Mrs,55,0,0
id188,Miss,16,0,1
id189,Mrs,51,0,1
id190,Mr,29,0,0
id191,Miss,21,0,0
id192,Mr,30,0,0
id193,Miss,58,0,0
id194,Miss,15,0,1
id195,Mr,30,0,0
id196,Miss,16,0,0
id197,Mr,,0,0
id198,Mr,19,1,0
id199,Mrs,18,1,0
id200,Mlle,24,0,0
id201,Mr,46,0,0
id202,Mr,54,0,0
id203,Mr,36,0,0
id204,Mr,28,1,0
id205,Mrs,,1,0
id206,Mr,65,0,0
id207,DrM,44,2,0
id208,Miss,33,1,0
id209,Mrs,37,1,0
id210,Mr,30,1,0
id211,Mr,55,0,0
id212,Mr,47,0,0
id213,Mr,37,0,1
id214,Miss,31,1,0
id215,Miss,23,1,0
id216,Mr,58,0,2
id217,Miss,19,0,2
id218,Mr,64,0,0
id219,Dona,39,0,0
id220,Mr,,0,0
id221,Miss,22,0,1
id222,Mr,65,0,1
id223,Mr,28.5,0,0
id224,Mr,,0,0
id225,Mr,45.5,0,0
id226,Mr,23,0,0
id227,Mr,29,1,0
id228,Mrs,22,1,0
id229,Mr,18,1,0
id230,Mrs,17,1,0
id231,Miss,30,0,0
id232,Major,52,0,0
id233,Mr,47,0,0
id234,Mrs,56,0,1
id235,,38,0,0
id236,Mr,,0,0
id237,Mr,22,0,0
id238,Mr,,0,0
id239,Mrs,43,0,1
id240,Mr,31,0,0
id241,Mr,45,0,0
id242,Mr,,0,0
id243,Miss,33,0,0
id244,Mr,46,0,0
id245,Mr,36,0,0
id246,,33,0,0
id247,Mr,55,1,0
id248,Mrs,54,1,0
id249,Mr,33,0,0
id250,Master,13,2,2
id251,Miss,18,2,2
id252,Miss,21,2,2
id253,Mr,61,1,3
id254,Mrs,48,1,3
id255,Mr,,0,0
id256,Mlle,24,0,0
id257,Mr,,0,0
id258,Mrs,35,1,0
id259,Miss,30,0,0
id260,Mr,34,0,0
id261,Miss,40,0,0
id262,Mr,35,0,0
id263,Mr,50,1,0
id264,Mrs,39,1,0
id265,ColM,56,0,0
id266,Mr,28,0,0
id267,Mr,56,0,0
id268,Mr,56,0,0
id269,Mr,24,1,0
id270,Mr,,0,0
id271,Mrs,18,1,0
id272,Mr,24,1,0
id273,Mrs,23,1,0
id274,Master,6,0,2
id275,Mr,45,1,1
id276,Mrs,40,1,1
id277,Mr,57,1,0
id278,Mrs,,1,0
id279,DrM,32,0,0
id280,Mr,62,0,0
id281,Mr,54,1,0
id282,Mrs,43,1,0
id283,Mrs,52,1,0
id284,Mr,,0,0
id285,Mrs,62,0,0
id286,Mr,67,1,0
id287,Mrs,63,1,0
id288,Mr,61,0,0
id289,Mrs,48,0,0
id290,Miss,18,0,2
id291,Mr,52,1,1
id292,Mrs,39,1,1
id293,Mr,48,1,0
id294,Mrs,,1,0
id295,Mr,49,1,1
id296,Mr,17,0,2
id297,Mrs,39,1,1
id298,Mrs,,0,0
id299,Mr,31,0,0
id300,,40,0,0
id301,Mr,61,0,0
id302,Mr,47,0,0
id303,Miss,35,0,0
id304,Mr,64,1,0
id305,Mrs,60,1,0
id306,ColM,60,0,0
id307,Mr,54,0,1
id308,Mr,21,0,1
id309,Mrs,55,0,0
id310,Miss,31,0,2
id311,Mr,57,1,1
id312,Mrs,45,1,1
id313,Mr,50,1,1
id314,Mr,27,0,2
id315,Mrs,50,1,1
id316,Miss,21,0,0
id317,Mr,51,0,1
id318,Mr,21,0,1
id319,Mr,,0,0
id320,Miss,31,0,0
id321,Mr,,0,0
id322,Mr,62,0,0
id323,Miss,36,0,0
