id,Civilite,Age,EpouseFrat,ParentsEnf
id770,Mr,22,0,0
id771,Mr,36,0,0
id772,Miss,19,0,0
id773,Mr,17,0,0
id774,Mr,42,0,0
id775,Mr,43,0,0
id776,Mr,,0,0
id777,Mr,32,0,0
id778,Mr,19,0,0
id779,Miss,30,0,0
id780,Miss,24,0,0
id781,DrF,23,0,0
id782,DrM,33,0,0
id783,Mr,65,0,0
id784,Mr,24,0,0
id785,Mr,23,1,0
id786,Mrs,22,1,0
id787,Mr,18,0,0
id788,Mr,16,0,0
id789,Mr,45,0,0
id790,Mr,,0,0
id791,Mr,39,0,2
id792,Mr,17,1,1
id793,Mr,15,1,1
id794,Mr,47,0,0
id795,Miss,5,0,0
id796,Mr,,0,0
id797,Mr,40.5,0,0
id798,Mr,40.5,0,0
id799,Mr,,0,0
id800,Mr,18,0,0
id801,Miss,,0,0
id802,Mr,,0,0
id803,Mr,,0,0
id804,Mr,26,0,0
id805,Mr,,0,0
id806,Mr,,0,0
id807,Miss,21,2,2
id808,Miss,9,2,2
id809,Mr,,0,0
id810,Mr,18,2,2
id811,Mr,16,1,3
id812,Mrs,48,1,3
id813,Mr,,0,0
id814,Mr,,0,0
id815,Mr,25,0,0
id816,Mr,,0,0
id817,Mr,,0,0
id818,Mr,22,0,0
id819,Miss,16,0,0
id820,Miss,,0,0
id821,Master,9,0,2
id822,Mr,33,1,1
id823,Mr,41,0,0
id824,Mrs,31,1,1
id825,Mr,38,0,0
id826,Master,9,5,2
id827,Master,1,5,2
id828,Master,11,5,2
id829,Miss,10,5,2
id830,Miss,16,5,2
id831,Mr,14,5,2
id832,Mr,40,1,6
id833,Mrs,43,1,6
id834,Mr,51,0,0
id835,Mr,32,0,0
id836,Mr,,0,0
id837,Mr,20,0,0
id838,Mr,37,2,0
id839,Mr,28,2,0
id840,Mr,19,0,0
id841,Miss,24,0,0
id842,Miss,17,0,0
id843,Mr,,1,0
id844,Mr,,1,0
id845,Mr,28,1,0
id846,Mrs,24,1,0
id847,Mr,20,0,0
id848,Mr,23.5,0,0
id849,Mr,41,2,0
id850,Mr,26,1,0
id851,Mr,21,0,0
id852,Mrs,45,1,0
id853,Miss,,0,0
id854,Mr,25,0,0
id855,Mr,,0,0
id856,Mr,11,0,0
id857,Miss,,0,0
id858,Mr,27,0,0
id859,Mr,,0,0
id860,Miss,18,0,0
id861,Miss,26,0,0
id862,Miss,23,0,0
id863,Miss,22,0,0
id864,Mr,28,0,0
id865,Miss,28,0,0
id866,Miss,,0,0
id867,Miss,2,0,1
id868,Mrs,22,1,1
id869,Mr,43,0,0
id870,Mr,28,0,0
id871,Miss,27,0,0
id872,Mr,,0,0
id873,Miss,,0,0
id874,Mr,42,0,0
id875,Mr,,0,0
id876,Mr,30,0,0
id877,Mr,,0,0
id878,Miss,27,1,0
id879,Miss,25,1,0
id880,Mr,,0,0
id881,Mr,29,0,0
id882,Mr,21,0,0
id883,Mr,,0,0
id884,Mr,20,0,0
id885,Mr,48,0,0
id886,Mr,17,1,0
id887,Miss,,0,0
id888,Mr,,0,0
id889,Mr,34,0,0
id890,Mr,26,0,0
id891,Mr,22,0,0
id892,Mr,33,0,0
id893,Mr,31,0,0
id894,Mr,29,0,0
id895,Master,4,1,1
id896,Miss,1,1,1
id897,Mr,49,0,0
id898,Mr,33,0,0
id899,Mr,19,0,0
id900,Mrs,27,0,2
id901,Master,,1,2
id902,Miss,,1,2
id903,Mr,,1,2
id904,Mrs,,1,2
id905,Mr,23,0,0
id906,Mr,32,0,0
id907,Mr,27,0,0
id908,Miss,20,1,0
id909,Miss,21,1,0
id910,Mr,32,0,0
id911,Mr,17,0,0
id912,Mr,21,0,0
id913,Mr,30,0,0
id914,Mr,21,0,0
id915,Mr,33,0,0
id916,Mr,22,0,0
id917,Miss,4,0,1
id918,Mr,39,0,1
id919,Mr,,0,0
id920,Mr,18.5,0,0
id921,Mr,,0,0
id922,Mr,,0,0
id923,Miss,,0,0
id924,Miss,,0,0
id925,Mr,34.5,0,0
id926,Mr,44,0,0
id927,Mr,,0,0
id928,Mr,,1,0
id929,Mrs,,1,0
id930,Mr,,1,0
id931,Mr,,1,0
id932,Mr,,0,0
id933,Miss,22,2,0
id934,Mr,26,2,0
id935,Miss,4,0,2
id936,Mr,29,3,1
id937,Mrs,26,1,1
id938,Miss,1,1,1
id939,Mr,18,1,1
id940,Mrs,36,0,2
id941,Mr,,0,0
id942,Mr,25,0,0
id943,Mr,,0,0
id944,Miss,37,0,0
id945,Mr,,0,0
id946,Mr,,0,0
id947,Mr,,0,0
id948,Miss,22,0,0
id949,Mr,,0,0
id950,Mr,26,0,0
id951,Mr,29,0,0
id952,Mr,29,0,0
id953,Mr,22,0,0
id954,Mr,22,0,0
id955,Master,,3,1
id956,Miss,,3,1
id957,Miss,,3,1
id958,Miss,,3,1
id959,Mrs,,0,4
id960,Mr,32,0,0
id961,Mr,34.5,0,0
id962,Miss,,1,0
id963,Mr,,1,0
id964,Mr,36,0,0
id965,Mr,39,0,0
id966,Mr,24,0,0
id967,Miss,25,0,0
id968,Miss,45,0,0
id969,Mr,36,1,0
id970,Mrs,30,1,0
id971,Mr,20,1,0
id972,Mr,,0,0
id973,Mr,28,0,0
id974,Mr,,0,0
id975,Mr,30,1,0
id976,Mrs,26,1,0
id977,Mr,,0,0
id978,Mr,20.5,0,0
id979,Mr,27,0,0
id980,Mr,51,0,0
id981,Miss,23,0,0
id982,Mr,32,0,0
id983,Mr,,0,0
id984,Mr,,0,0
id985,Miss,,0,0
id986,Mr,24,0,0
id987,Mr,22,0,0
id988,Miss,,0,0
id989,Mr,,0,0
id990,Mr,,0,0
id991,Mr,29,0,0
id992,Mr,,0,0
id993,Miss,30.5,0,0
id994,Miss,,0,0
id995,Mr,,0,0
id996,Mr,35,0,0
id997,Mr,33,0,0
id998,Mrs,,0,0
id999,Mr,,0,0
id1000,Miss,,0,0
id1001,Mr,,0,0
id1002,Miss,,2,0
id1003,Miss,,2,0
id1004,Mr,,2,0
id1005,Miss,,0,0
id1006,Mr,,0,0
id1007,Miss,,0,0
id1008,Miss,15,0,0
id1009,Miss,35,0,0
id1010,Mr,,0,0
id1011,Mr,24,1,0
id1012,Mrs,19,1,0
id1013,Miss,,0,0
id1014,Miss,,0,0
id1015,Mrs,,0,0
id1016,Mr,55.5,0,0
id1017,Mr,,0,0
id1018,Mr,21,0,0
id1019,Mr,,0,0
id1020,Mr,24,0,0
id1021,Mr,21,0,0
id1022,Mr,28,0,0
id1023,Mr,,0,0
id1024,Miss,,0,0
id1025,Mr,25,0,0
id1026,Master,6,0,1
id1027,Mrs,27,0,1
id1028,Mr,,0,0
id1029,Miss,,1,0
id1030,Mr,,1,0
id1031,Mr,,0,0
id1032,Mr,34,0,0
id1033,Mr,,0,0
id1034,Mr,,0,0
id1035,Master,,1,1
id1036,Master,,1,1
id1037,Mrs,,0,2
id1038,Mrs,,0,0
id1039,Mr,,0,0
id1040,Miss,,0,0
id1041,Miss,24,0,0
id1042,Mr,,0,0
id1043,Miss,,1,0
id1044,Miss,,1,0
id1045,Miss,,0,0
id1046,Mr,18,0,0
id1047,Mr,22,0,0
id1048,Miss,15,0,0
id1049,Miss,1,0,2
id1050,Mr,20,1,1
id1051,Mrs,19,1,1
id1052,Mr,33,0,0
id1053,Mr,,0,0
id1054,Mr,,0,0
id1055,Miss,,0,0
id1056,Mr,,0,0
id1057,Master,12,1,0
id1058,Miss,14,1,0
id1059,Miss,29,0,0
id1060,Mr,28,0,0
id1061,Miss,18,0,0
id1062,Miss,26,0,0
id1063,Mr,21,0,0
id1064,Mr,41,0,0
id1065,Mr,39,0,0
id1066,Mr,21,0,0
id1067,Mr,28.5,0,0
id1068,Miss,22,0,0
id1069,Mr,61,0,0
id1070,Mr,,1,0
id1071,Mr,,0,0
id1072,Mrs,,1,0
id1073,Mr,,0,0
id1074,Mr,,0,0
id1075,Mr,,0,0
id1076,Mr,23,0,0
id1077,Ms,,0,0
id1078,DrF,,0,0
id1079,Miss,,0,0
id1080,Miss,22,0,0
id1081,Mr,,0,0
id1082,Miss,,0,0
id1083,Master,9,0,1
id1084,Mr,28,0,0
id1085,Mr,42,0,1
id1086,Mr,,0,0
id1087,Miss,31,0,0
id1088,Mr,28,0,0
id1089,Mr,32,0,0
id1090,Mr,20,0,0
id1091,Miss,23,0,0
id1092,Miss,20,0,0
id1093,Mr,20,0,0
id1094,Mr,16,0,0
id1095,Mrs,31,0,0
id1096,Miss,,0,0
id1097,Master,2,3,1
id1098,Master,6,3,1
id1099,Miss,3,3,1
id1100,Miss,8,3,1
id1101,Mrs,29,0,4
id1102,Master,1,4,1
id1103,Master,7,4,1
id1104,Master,2,4,1
id1105,Mr,16,4,1
id1106,Mr,14,4,1
id1107,Mrs,41,0,5
id1108,Mr,21,0,0
id1109,Mr,19,0,0
id1110,Mr,,0,0
id1111,Mr,32,0,0
id1112,Master,0.75,1,1
id1113,Miss,3,1,1
id1114,Mrs,26,0,2
id1115,Mr,,0,0
id1116,Mr,,0,0
id1117,Mr,,0,0
id1118,Mr,21,0,0
id1119,Mr,25,0,0
id1120,Mr,22,0,0
id1121,Mr,25,1,0
id1122,Master,,1,1
id1123,Miss,,1,1
id1124,Mrs,,0,2
id1125,Miss,,0,0
id1126,Mr,24,0,0
id1127,Miss,28,0,0
id1128,Mr,19,0,0
id1129,Mr,,0,0
id1130,Mr,25,1,0
id1131,Miss,18,0,0
id1132,Mr,32,0,0
id1133,Mr,,0,0
id1134,Mr,17,0,0
id1135,Mr,24,0,0
id1136,Mr,,0,0
id1137,Mrs,,0,0
id1138,Mr,,0,0
id1139,Mr,,0,0
id1140,Mr,38,0,0
id1141,Mr,21,0,0
id1142,Master,10,4,1
id1143,Master,4,4,1
id1144,Master,7,4,1
id1145,Master,2,4,1
id1146,Master,8,4,1
id1147,Mrs,39,0,5
id1148,Miss,22,0,0
id1149,Mr,35,0,0
id1150,Miss,,0,0
id1151,Mr,,0,0
id1152,Mrs,,0,0
id1153,Mr,50,1,0
id1154,Mrs,47,1,0
id1155,Mr,,0,0
id1156,Mr,,0,0
id1157,Miss,2,1,1
id1158,Mr,18,1,1
id1159,Mrs,41,0,2
id1160,Miss,,0,0
id1161,Mr,50,0,0
id1162,Mr,16,0,0
id1163,Mr,,0,0
id1164,Mr,,0,0
id1165,Mr,,0,0
id1166,Mr,25,0,0
id1167,Mr,,0,0
id1168,Mr,,0,0
id1169,Mr,,0,0
id1170,Mr,38.5,0,0
id1171,Master,,8,2
id1172,Master,14.5,8,2
id1173,Miss,,8,2
id1174,Miss,,8,2
id1175,Miss,,8,2
id1176,Miss,,8,2
id1177,Mr,,8,2
id1178,Mr,,8,2
id1179,Mr,,8,2
id1180,Mr,,1,9
id1181,Mrs,,1,9
id1182,Mr,24,0,0
id1183,Miss,21,0,0
id1184,Mr,39,0,0
id1185,Mr,,2,0
id1186,Mr,,2,0
id1187,Mr,,2,0
id1188,Miss,1,1,1
id1189,Mrs,24,0,2
id1190,Miss,4,1,1
id1191,Mr,25,0,0
id1192,Mr,20,0,0
id1193,Mr,24.5,0,0
id1194,Mr,,0,0
id1195,Mr,,0,0
id1196,Mr,,0,0
id1197,Mr,29,0,0
id1198,Mr,,0,0
id1199,Miss,,0,0
id1200,Mr,,0,0
id1201,Mr,,0,0
id1202,Mr,22,0,0
id1203,Mr,,0,0
id1204,Mr,40,0,0
id1205,Mr,21,0,0
id1206,Miss,18,0,0
id1207,Master,4,3,2
id1208,Master,10,3,2
id1209,Miss,9,3,2
id1210,Miss,2,3,2
id1211,Mr,40,1,4
id1212,Mrs,45,1,4
id1213,Mr,,0,0
id1214,Mr,,0,0
id1215,Mr,,0,0
id1216,Mr,,0,0
id1217,Miss,,0,0
id1218,Mr,19,0,0
id1219,Mr,30,0,0
id1220,Mr,,0,0
id1221,Mr,32,0,0
id1222,Mr,,0,0
id1223,Mr,33,0,0
id1224,Miss,23,0,0
id1225,Mr,21,0,0
id1226,Mr,19,0,0
id1227,Miss,22,0,0
id1228,Mr,31,0,0
id1229,Mr,27,0,0
id1230,Miss,2,0,1
id1231,Mrs,29,1,1
id1232,Mr,16,0,0
id1233,Mr,44,0,0
id1234,Mr,25,0,0
id1235,Mr,74,0,0
id1236,Mr,14,0,0
id1237,Mr,24,0,0
id1238,Mr,25,0,0
id1239,Mr,34,0,0
id1240,Master,0.4167,0,1
id1241,Mr,,1,0
id1242,Mr,,0,0
id1243,Mr,,0,0
id1244,Mrs,16,1,1
id1245,Mr,,0,0
id1246,Mr,,1,0
id1247,Mrs,,1,0
id1248,Mr,32,0,0
id1249,Mr,,0,0
id1250,Mr,,0,0
id1251,Mr,30.5,0,0
id1252,Mr,44,0,0
id1253,Mr,,0,0
id1254,Mr,25,0,0
id1255,Mr,,0,0
id1256,Master,7,1,1
id1257,Miss,9,1,1
id1258,Mrs,29,0,2
id1259,Mr,36,0,0
id1260,Miss,18,0,0
id1261,Mrs,63,0,0
id1262,Master,,1,1
id1263,Master,11.5,1,1
id1264,Mr,40.5,0,2
id1265,Miss,10,0,2
id1266,Mr,36,1,1
id1267,Mrs,30,1,1
id1268,Mr,,0,0
id1269,Mr,33,0,0
id1270,Mr,28,0,0
id1271,Mr,28,0,0
id1272,Mr,47,0,0
id1273,Miss,18,2,0
id1274,Mr,31,3,0
id1275,Mr,16,2,0
id1276,Mrs,31,1,0
id1277,Mr,22,0,0
id1278,Mr,20,0,0
id1279,Miss,14,0,0
id1280,Mr,22,0,0
id1281,Mr,22,0,0
id1282,Mr,,0,0
id1283,Mr,,0,0
id1284,Mr,,0,0
id1285,Mr,32.5,0,0
id1286,Mrs,38,0,0
id1287,Mr,51,0,0
id1288,Mr,18,1,0
id1289,Mr,21,1,0
id1290,Mrs,47,1,0
id1291,Mr,,0,0
id1292,Mr,,0,0
id1293,Mr,,0,0
id1294,Mr,28.5,0,0
id1295,Mr,21,0,0
id1296,Mr,27,0,0
id1297,Mr,,0,0
id1298,Mr,36,0,0
id1299,Mr,27,1,0
id1300,Mrs,15,1,0
id1301,Mr,45.5,0,0
id1302,Mr,,0,0
id1303,Mr,,0,0
id1304,Miss,14.5,1,0
id1305,Miss,,1,0
id1306,Mr,26.5,0,0
id1307,Mr,27,0,0
id1308,Mr,29,0,0
